date,title,media_type,url
22/10/2020,Tagging Bennu,image,https://apod.nasa.gov/apod/image/2010/d_tag-2-frames.jpg
23/10/2020,Supernova in NGC 2525,image,https://apod.nasa.gov/apod/image/2010/STScI_NGC2525_955x1024.jpg
24/10/2020,Globular Star Cluster 47 Tuc,image,https://apod.nasa.gov/apod/image/2010/ngc104v1Mtanous_1024.jpg
25/10/2020,Dark Matter in a Simulated Universe,image,https://apod.nasa.gov/apod/image/2010/DarkMatter_KipacAmnh_960.jpg
26/10/2020,Reflections of the Ghost Nebula,image,https://apod.nasa.gov/apod/image/2010/GhostNebula_Jarzyna_960.jpg
27/10/2020,Venusian Volcano Imagined,image,https://apod.nasa.gov/apod/image/2010/VenusVolcano_NasaRubin_1080.jpg
28/10/2020,NGC 6357: The Lobster Nebula,image,https://apod.nasa.gov/apod/image/2010/Lobster_Mohr_1080.jpg
29/10/2020,The Ghoul of IC 2118,image,https://apod.nasa.gov/apod/image/2010/GhoulGood_1024.jpg
30/10/2020,Fear and Dread: The Moons of Mars,image,https://apod.nasa.gov/apod/image/2010/PhobosDeimosOrbitTimesAnnotatedcopy.jpg
31/10/2020,A Galaxy of Horrors,image,https://apod.nasa.gov/apod/image/2010/1c-english-triplet-16.jpg
01/11/2020,In the Center of the Trifid Nebula,image,https://apod.nasa.gov/apod/image/2011/Trifid_HubbleGendler_960.jpg
02/11/2020,Half Sun with Prominence,image,https://apod.nasa.gov/apod/image/2011/HalfSunProm_Colacurcio_960.jpg
03/11/2020,Tagging Bennu: The Movie,video,https://www.youtube.com/embed/F6Tkb8syTK8?rel=0
04/11/2020,Fifty Gravitational Wave Events Illustrated,image,https://apod.nasa.gov/apod/image/2011/GWaveSources2020Oct_LigoVIrgo_960.jpg
